name,province,province_name,website,software,category,final_url,error
Richmond Hill Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/canrhac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canrhac/page/home,
Swimming Dragons,ON,Ontario,https://www.swimmingdragons.ca,Error,Error,https://www.swimmingdragons.ca,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Clarington Swim Club,,,https://claringtonswimclub.org,GoMotion,Swim-specific,https://www.claringtonswimclub.org/page/home,
The Dorado Stars Swim Club,ON,Ontario,https://doradoswimclub.ca,GoMotion,Swim-specific,https://www.doradoswimclub.ca/page/home,
Toronto Olympian Swim Team,ON,Ontario,https://www.torchswim.com,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canops/page/home,
Toronto Swim Club,ON,Ontario,https://www.torontoswimclub.com,Unknown / Custom,Unknown / Custom,https://www.torontoswimclub.com/,
Uxbridge Swim Club,ON,Ontario,https://www.gomotionapp.com/team/canusc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canusc/page/home,
Vaughan Aquatic Club,ON,Ontario,https://vaughanaquaticclub.com,WordPress,CMS / Website builder,https://vaughanaquaticclub.com/,
Variety Village Aquatic Club,ON,Ontario,,No Website,No Website,,
Whitby Swimming,ON,Ontario,https://www.gomotionapp.com/team/canwdsc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canwdsc/page/home,
York Swim Club,ON,Ontario,https://www.yorkswimclub.ca,GoMotion,Swim-specific,https://www.yorkswimclub.ca/page/home,
Arnprior Blue Fish Swim Club,ON,Ontario,https://www.arnpriorbluefish.net,Google Sites,CMS / Website builder,https://www.arnpriorbluefish.net/,
Belleville Beast Swim Team,ON,Ontario,https://bellevilleswimming.ca,Squarespace,CMS / Website builder,https://bellevilleswimming.ca/,
Cornwall Sea Lions,ON,Ontario,https://www.cornwallsealions.ca,Unknown / Custom,Unknown / Custom,https://www.cornwallsealions.ca/,
Deep River Candu,ON,Ontario,,No Website,No Website,,
